,id,name,picture_url
0,1009362,Iceman,http://i.annihil.us/u/prod/marvel/i/mg/1/d0/52696c836898c.jpg
1,1010933,Iceman (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/3/70/53176e6436aa6.jpg
2,1017475,Iceman (X-Men: Battle of the Atom),http://i.annihil.us/u/prod/marvel/i/mg/9/70/52d72ac3c45f9.jpg
3,1011077,Ikaris,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4c0030d8df78e.jpg
4,1010758,Illuminati,http://i.annihil.us/u/prod/marvel/i/mg/5/70/526033bb40a5e.jpg
5,1009529,Ilyana Rasputin,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
6,1012923,Immortus,http://i.annihil.us/u/prod/marvel/i/mg/1/a0/4ce5aa10cfeb5.jpg
7,1011273,Imp,http://i.annihil.us/u/prod/marvel/i/mg/9/30/4c002eee45d85.jpg
8,1011089,Imperfects,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
9,1009363,Imperial Guard,http://i.annihil.us/u/prod/marvel/i/mg/6/30/539a0286b06bf.jpg
10,1009364,Impossible Man,http://i.annihil.us/u/prod/marvel/i/mg/8/90/4c003eb8e1d23.jpg
11,1011063,In-Betweener,http://i.annihil.us/u/prod/marvel/i/mg/9/60/4c0030f999ecb.jpg
12,1011064,Inertia,http://i.annihil.us/u/prod/marvel/i/mg/b/60/4c0030f6eab3d.jpg
13,1011146,Infant Terrible,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/4c002f7854e02.jpg
14,1009365,Inhumans,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/526033a73dca3.jpg
15,1011293,Ink,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
16,1011024,Invaders,http://i.annihil.us/u/prod/marvel/i/mg/9/60/539b3c2fca079.jpg
17,1009366,Invisible Woman,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/52695b9cd40b6.jpg
18,1017301,Invisible Woman (Marvel: Avengers Alliance),http://i.annihil.us/u/prod/marvel/i/mg/6/80/5239b5c4cb782.jpg
19,1010934,Invisible Woman (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/5/b0/4c00342d26fc5.jpg
20,1011379,Iron Cross Army,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
21,1011318,Iron Fist (Bei Bang-Wen),http://i.annihil.us/u/prod/marvel/i/mg/9/20/53176ebd40ad7.jpg
22,1009367,Iron Fist (Danny Rand),http://i.annihil.us/u/prod/marvel/i/mg/3/f0/52616788ebc63.jpg
23,1010888,Iron Fist (Orson Randall),http://i.annihil.us/u/prod/marvel/i/mg/6/e0/53176e979cca2.jpg
24,1011413,Iron Fist (Quan Yaozu),http://i.annihil.us/u/prod/marvel/i/mg/4/20/53176e89b563e.jpg
25,1016839,Iron Fist (USM),http://i.annihil.us/u/prod/marvel/i/mg/6/20/52321751dffa6.jpg
26,1011412,Iron Fist (Wu Ao-Shi),http://i.annihil.us/u/prod/marvel/i/mg/7/03/53176f05a6851.jpg
27,1010704,Iron Lad,http://i.annihil.us/u/prod/marvel/i/mg/3/50/4c0038c9c6580.jpg
28,1009368,Iron Man,http://i.annihil.us/u/prod/marvel/i/mg/9/c0/527bb7b37ff55.jpg
29,1017320,Iron Man (Iron Man 3 - The Official Game),http://i.annihil.us/u/prod/marvel/i/mg/9/03/5239c1408c936.jpg
30,1017294,Iron Man (LEGO Marvel Super Heroes),http://i.annihil.us/u/prod/marvel/i/mg/6/90/5239c3cc8a259.jpg
31,1017310,Iron Man (Marvel Heroes),http://i.annihil.us/u/prod/marvel/i/mg/9/40/5239be60a67da.jpg
32,1017326,Iron Man (Marvel War of Heroes),http://i.annihil.us/u/prod/marvel/i/mg/f/f0/5239bfbfeea88.jpg
33,1010935,Iron Man (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/1/90/53176e7785d95.jpg
34,1017104,Iron Man/Tony Stark (MAA),http://i.annihil.us/u/prod/marvel/i/mg/2/d0/5232190d42df2.jpg
35,1009371,Iron Monger,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
36,1009487,Iron Patriot,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
37,1009538,Iron Patriot (James Rhodes),http://i.annihil.us/u/prod/marvel/i/mg/6/70/526035f38cd5d.jpg
38,1010844,Ironclad,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c0035ccf2128.jpg
39,1017831,Ironheart (Riri Williams),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
40,1011876,Isaiah Bradley,http://i.annihil.us/u/prod/marvel/i/mg/b/f0/4ce5a8a61b18a.jpg
